         usid   latitude   longitude                 cell  earfcndl
337     12075  33.929789 -118.431633        CLL02325_7A_1      5780
338     25644  34.018944 -118.211667        CLL02498_7A_1      5780
339     48134  34.279306 -118.760389        CSL01716_7C_1      5780
340     12447  33.616167 -117.678222        CLL03826_7A_1      5780
341     25676  33.791389 -118.244306        CLL02858_7B_1      5780
342     12321  34.069361 -117.429778        CSL04480_7A_1      5780
343     12321  34.069361 -117.429778        CSL04480_7A_1      5780
344     13955  32.901866 -117.222734        CAL00442_7C_1      5780
345     51051  34.057000 -117.780556        CLL04318_2A_1      1975
346    102188  33.831222 -117.966611        CLL03328_2B_1      1975
347     99343  33.640806 -117.595389        CLL03913_7B_1      5780
348      9535  35.306306 -118.919806        CSL01106_7C_1      5780
349     13955  32.901866 -117.222734        CAL00442_7A_1      5780
350     12549  34.593111 -120.186111        CSL01359_7C_1      5780
351     26962  33.864464 -117.740725        CLL03621_7B_1      5780
352     26962  33.864464 -117.740725        CLL03621_7B_1      5780
353     12445  33.665833 -117.880278        CLL03463_2C_1      1975
354     12445  33.665833 -117.880278        CLL03463_2C_1      1975
355    107369  34.133631 -118.242222        CLL05150_7C_1      5780
356     50581  33.193199 -117.230290        CAL01321_7A_1      5780
357     12317  33.980028 -117.840611        CLL03053_7A_1      5780
358     12317  33.980028 -117.840611        CLL03053_7A_1      5780
359     26950  33.798467 -117.800783        CLL03638_2A_1      1975
360     12567  34.439722 -119.746944        CSL01430_7C_1      5780
361     12019  33.722639 -118.313861        CLL02869_7C_1      5780
362     12434  33.696944 -117.860694        CLL03447_7A_1      5780
363     11979  33.778083 -118.256889        CLL02859_7C_1      5780
364     35033  35.386944 -119.258889        CSL01097_7A_1      5780
365      9543  35.251861 -118.816472        CSL01105_7B_1      5780
366     11744  34.051917 -118.227500        CLL05682_7C_1      5780
367     43990  34.255806 -119.080639        CSL01529_7C_1      5780
368     43990  34.255806 -119.080639        CSL01529_7C_1      5780
369     11763  34.055847 -118.271681        CLL05678_7C_1      5780
370     12049  33.871694 -118.395278        CLL02805_7A_1      5780
371    102266  33.792417 -118.190167        CLL02705_7A_1      5780
372     82931  33.130633 -117.204768        CAL01344_7C_1      5780
373     12343  33.952833 -117.391500        CSL04503_7A_1      5780
374     93001  33.186298 -117.289892        CAL01040_7A_1      5780
375     11872  34.256750 -118.605500        CLL01729_7A_1      5780
376     44608  33.988611 -117.931944        CLL04258_7B_1      5780
377     44608  33.988611 -117.931944        CLL04258_7B_1      5780
378     48393  34.026161 -117.279958        CSL04608_7A_1      5780
379     25714  34.114556 -117.935306        CLL04234_7A_1      5780
380     45906  32.983477 -117.229123        CAL00776_7B_1      5780
381     12157  33.831551 -117.992377        CLL03259_7B_1      5780
382     12157  33.831551 -117.992377        CLL03259_7B_1      5780
383     46404  34.058194 -118.036250        CLL04220_7B_1      5780
384     11850  34.222477 -118.437920        CLL05237_2B_1      1975
385     11702  33.798611 -117.876917        CLL03231_7A_1      5780
386     11760  34.098151 -118.331518        CLL05607_7A_1      5780
387     14027  33.013552 -117.269393        CAL00453_7B_1      5780
388     12459  33.682774 -117.875311        CLL03445_7A_1      5780
389     12424  33.625389 -117.716583        CLL03834_7B_1      5780
390     13965  32.748028 -117.208254        CAL00359_7C_1      5780
391     12339  34.019056 -117.813917        CLL04282_7C_1      5780
392     87357  33.136505 -117.174123        CAL01329_7A_1      5780
393     93475  33.166727 -117.157679        CAL00635_7B_1      5780
394     93475  33.166727 -117.157679        CAL00635_7B_1      5780
395     12524  34.395139 -118.714833        CSL01621_7A_1      5780
396     12344  34.048417 -117.749111        CLL04324_7C_1      5780
397     15197  34.434722 -119.919722        CSL01404_7B_1      5780
398     82936  33.023616 -117.273151        CAL01031_7C_1      5780
399     13943  32.980561 -117.256401        CAL00416_7C_1      5780
400     13883  33.158061 -117.338068        CAL00475_7C_1      5780
401     12420  33.477917 -117.701111        CLL03881_2B_1      1975
402     51019  34.018972 -117.863889        CLL04272_7B_1      5780
403     51019  34.018972 -117.863889        CLL04272_7B_1      5780
404     27393  33.709936 -117.721172        CLL03684_7A_1      5780
405     27393  33.709936 -117.721172        CLL03684_7A_1      5780
406    103090  33.945600 -118.184325        CLL02568_7C_1      5780
407     11753  34.069361 -118.361667        CLL05641_7B_1      5780
408     11753  34.069361 -118.361667        CLL05641_7B_1      5780
409     11980  33.889056 -118.362306        CLL02614_7A_1      5780
410     24301  34.052606 -118.150908        CLL05887_7A_1      5780
411     12508  34.319417 -119.390194        CSL01464_7A_1      5780
412     40910  33.665472 -117.607306        CLL03800_7C_1      5780
413     83965  33.888000 -118.234139        CLL02637_2B_1      1975
414     51197  33.784167 -118.211083        CLL02714_7C_1      5780
415     12175  34.168194 -118.131917        CLL05808_7C_1      5780
416     45590  33.863861 -117.863528        CLL03221_7C_1      5780
417     42690  34.186472 -118.440861        CLL05261_7B_1      5780
418     12159  34.156722 -118.261889        CLL05042_7C_1      5780
419     25749  33.610389 -117.727750        CLL03835_7B_1      5780
420     25797  33.660194 -117.932889        CLL03443_7C_1      5780
421     25797  33.660194 -117.932889        CLL03443_7C_1      5780
422     11877  34.173083 -118.560750        CLL01943_2B_1      1975
423     11877  34.173083 -118.560750        CLL01943_2B_1      1975
424     97755  35.260639 -118.915083        CSL01170_7A_1      5780
425     11843  34.171282 -118.604412        CLL01752_7C_1      5780
426     11843  34.171282 -118.604412        CLL01752_7C_1      5780
427     24280  34.004722 -118.291111        CLL02461_7A_1      5780
428     50627  32.821015 -117.248312        CAL00777_7B_1      5780
429     50627  32.821015 -117.248312        CAL00777_7B_1      5780
430     51197  33.784167 -118.211083        CLL02714_7A_1      5780
431    103690  34.271028 -119.172194        CSL01558_7B_1      5780
432     36500  34.250111 -118.404167        CLL05222_7A_1      5780
433     82909  32.880561 -117.209512        CAL02077_7C_1      5780
434     11890  34.038722 -118.545028        CLL02229_7C_1      5780
435     11890  34.038722 -118.545028        CLL02229_7C_1      5780
436     12511  34.173140 -119.177284        CSL01513_7C_1      5780
437     12511  34.173140 -119.177284        CSL01513_7C_1      5780
438     12422  33.677917 -118.004667        CLL03436_7C_1      5780
439     48124  33.888333 -118.215556        CLL02661_7A_1      5780
440    101292  34.072944 -118.431528        CLL05520_7B_1      5780
441     47264  34.091833 -117.960083        CLL04245_7C_1      5780
442     25761  33.846652 -118.038558        CLL03211_7A_1      5780
443     12131  33.865389 -118.047028        CLL03209_7B_1      5780
444     11999  33.745278 -118.405444        CLL02894_7A_1      5780
445     84129  33.944833 -117.435806        CSL04504_7C_1      5780
446     84129  33.944833 -117.435806        CSL04504_7C_1      5780
447     48910  33.864722 -118.387222        CLL02807_7A_1      5780
448     12410  34.098778 -117.377083        CSL04100_7B_1      5780
449     82317  33.761306 -117.989333        CLL03306_2A_1      1975
450     86051  33.976806 -117.690639        CSL04435_7C_1      5780
451     48148  34.412833 -119.862389        CSL01408_7A_1      5780
452     85530  34.142889 -117.317111        CSL04108_7B_1      5780
453     24383  33.829472 -117.857278        CLL03223_7A_1      5780
454     11937  34.047778 -118.490833        CLL02244_7A_1      5780
455     35806  33.911399 -117.901955        CLL03045_7A_1      5780
456     35806  33.911399 -117.901955        CLL03045_7A_1      5780
457     35806  33.911399 -117.901955        CLL03045_7A_1      5780
458    127244  33.857939 -117.440417        CSL04530_7B_1      5780
459     12467  33.608028 -117.699361        CLL03833_7C_1      5780
460     26342  34.274697 -118.450128        CLL05214_7C_1      5780
461     40746  33.387422 -117.575568        CAL00141_7A_1      5780
